time,open,high,low,close,volume
2023-08-31,69.74,70.38,69.37,69.81,1409398
2023-09-05,70.1,71.25,69.88,69.88,1448003
2023-09-06,70.1,71.47,69.52,71.47,2503495
2023-09-07,71.47,72.77,70.46,70.67,3257432
2023-09-08,70.38,71.11,70.02,70.46,2122234
2023-09-11,71.25,71.83,68.8,70.31,5159148
2023-09-12,70.31,71.4,70.31,71.4,2687116
2023-09-13,71.4,71.47,70.31,70.75,2895387
2023-09-14,70.75,70.75,68.94,69.23,2324353
2023-09-15,69.3,70.6,68.8,70.38,2140173
2023-09-18,69.95,69.95,69.09,69.95,2030801
2023-09-19,69.88,71.03,69.23,71.03,3588961
2023-09-20,71.32,71.97,71.11,71.11,2449993
2023-09-21,71.11,71.4,69.52,69.88,3422654
2023-09-22,68.65,70.02,66.85,69.81,6867488
2023-09-25,70.02,70.46,68.07,68.07,2102701
2023-09-26,68.0,68.94,67.21,67.5,2159726
2023-09-27,67.79,68.07,65.26,68.07,4516129
2023-09-28,67.93,68.07,65.98,67.86,1768685
2023-09-29,67.86,68.51,66.99,66.99,1637648
2023-10-02,67.43,67.71,66.41,67.28,1139848
2023-10-03,66.56,67.5,66.05,66.56,2010673
2023-10-04,65.91,67.43,65.91,66.78,1593917
2023-10-05,66.99,67.35,66.13,66.13,1370603
2023-10-06,66.05,66.99,65.69,66.92,1149293
2023-10-09,66.7,69.01,66.56,69.01,3660637
2023-10-10,69.66,70.17,68.87,69.52,3259197
2023-10-11,69.23,70.75,69.23,70.02,2361344
2023-10-12,70.02,70.6,69.3,69.59,1884002
2023-10-13,69.3,69.52,68.8,69.37,2364522
2023-10-16,69.88,71.4,69.52,69.88,4979916
2023-10-17,70.6,70.6,67.21,67.21,2422927
2023-10-18,68.51,68.51,65.69,67.14,6149090
2023-10-19,67.86,68.07,66.41,66.41,3033197
2023-10-20,66.78,67.14,65.04,67.06,2867958
2023-10-23,67.71,67.71,65.55,65.69,1975305
2023-10-24,66.7,66.7,65.55,66.41,1615528
2023-10-25,66.27,66.92,65.62,65.62,1840166
2023-10-26,63.74,64.9,62.08,62.66,5919549
2023-10-27,63.17,63.53,62.3,62.8,2039441
2023-10-30,62.8,62.88,61.36,61.36,1873591
2023-10-31,61.43,61.58,59.92,59.92,3095467
2023-11-01,60.86,61.65,59.63,61.65,2178980
2023-11-02,62.37,64.25,62.01,64.25,2207208
2023-11-03,64.25,64.39,62.8,62.8,4845587
2023-11-06,63.67,64.18,63.38,63.89,1212457
2023-11-07,63.89,64.1,63.45,63.74,1343408
2023-11-08,63.67,66.85,63.53,66.85,2947501
2023-11-09,66.41,67.35,66.27,66.78,2114138
2023-11-10,66.05,66.92,65.91,66.05,2409873
2023-11-13,66.13,66.41,65.33,65.98,1534993
2023-11-14,66.41,67.43,65.91,66.85,2000413
2023-11-15,67.64,67.71,66.41,66.7,2420392
2023-11-16,66.56,67.14,66.13,67.14,1908811
2023-11-17,67.43,67.5,65.4,65.69,3572003
2023-11-20,65.04,66.85,64.32,65.48,1659285
2023-11-21,66.41,66.41,65.48,66.34,1462987
2023-11-22,66.34,67.21,66.34,67.14,3274558
2023-11-23,67.35,67.64,65.55,65.55,2168399
2023-11-24,65.55,66.41,65.11,65.84,2251338
2023-11-27,65.98,65.98,65.04,65.48,1661825
2023-11-28,65.55,66.34,64.9,65.76,1092670
2023-11-29,66.13,66.41,65.76,66.2,804163
2023-11-30,65.98,67.64,65.91,66.34,1984701
